operacaoctef|ctefctef|cnpjctef|empresactef
1086109|00009/2023|31.381.604/0001-59|MOTIVA CONSTRUCOES E SERVICOS LTDA
1081973|00005/2024|05.052.764/0001-44|GS - CONSTRUTORA GURGEL SOARES LTDA - EM RECUPERACAO JUDICIAL
1043974|011012/2022|05.052.764/0001-44|gs - construtora gurgel soares ltda - em recuperacao judicial
1043974|011077/2023|05.052.764/0001-44|gs - construtora gurgel soares ltda - em recuperacao judicial
1043974|011012/2022|05.052.764/0001-44|gs - construtora gurgel soares ltda - em recuperacao judicial
1043974|011077/2023|05.052.764/0001-44|gs - construtora gurgel soares ltda - em recuperacao judicial
1086461|477/2024|08.866.317/0001-17|JOSE ROSINALDO RIBEIRO BARROS  LTDA
1086461|478/2024|22.336.279/0001-11|IDEAL CONSTRUCOES E SERVICOS LTDA
1076765|00006/2024|17.598.162/0001-76|MACARIO PRE MOLDADOS E METALURGICA LTDA.
1088479|00001/2024|49.381.192/0001-12|LM2 ENGENHARIA LTDA
1081242|08001/2024|07.161.258/0001-19|ACF CONSTRUCOES & EMPREENDIMENTOS LTDA
1086454|00040/2024|70.093.943/0001-91|PROJETA-PREMOLDADOS E ENGENHARIA LTDA
1058030|001456/2024|29.482.689/0001-10|construtora betagama ltda
1082563|435/2024|28.709.222/0001-05|EMPROTEC ENGENHARIA LTDA
1046920|001136/2024|17.560.794/0001-40|e l f teixeira construcoes e servicos ltda
1087720|10083/2024|14.976.902/0001-72|IMMI SERVICOS E CONSTRUCOES LTDA
1087332|005/2024|25.165.699/0001-70|CLPT CONSTRUTORA LTDA
1045361|020003/2024|09.335.002/0001-06|cl construcoes e servicos ltda
1080820|00002/2023|41.601.884/0001-17|AL-ACCOUNTING LTDA
1087719|007/2024|32.843.159/0001-64|AG CONSTRUTORA E SERVICOS LTDA
1090683|006/2024|32.843.159/0001-64|AG CONSTRUTORA E SERVICOS LTDA
1086282|062024/2024|51.913.561/0001-12|T G DE SOUZA FILHO
1082562|0009/2023|28.709.222/0001-05|EMPROTEC ENGENHARIA LTDA
1090683|006/2024|32.843.159/0001-64|AG CONSTRUTORA E SERVICOS LTDA
1087490|00002/2024|25.165.699/0001-70|CLPT CONSTRUTORA LTDA
1087876|002/2024|27.450.326/0001-77|CONSTRUTORA SALES LTDA
1087741|10201/2024|27.450.326/0001-77|CONSTRUTORA SALES LTDA
1087576|10301/2024|27.450.326/0001-77|CONSTRUTORA SALES LTDA
1086927|323/2024|43.625.211/0001-22|DELGADO SERVIÇOS E CONSTRUÇÕES LTDA
1092821|003/2024|27.450.326/0001-77|CONSTRUTORA SALES LTDA
1086290|00010/2024|38.374.079/0001-93|DEA CONSTRUCOES E LOCACOES LTDA
1087332|005/2024|25.165.699/0001-70|CLPT CONSTRUTORA LTDA
1088524|00009/2024|28.111.124/0001-63|ELO CONSTRUCOES E EMPREENDIMENTOS LTDA
1080756|179/2024|14.206.183/0001-00|MAC Construtora Ltda
1084443|00007/2024|52.656.270/0001-59|CONSTRUTORA IMPERIO FF PB LTDA
1078161|012024/2024|18.917.544/0001-88|M. A. EMPREENDIMENTOS E SERVICOS LTDA
1087598|00003/2024|12.373.455/0001-31|A. A. LIMA LTDA
1080752|90003/2024|10.641.065/0001-70|NIEMAIA CONSTRUCOES LTDA
1085672|004/2024|12.541.735/0001-01|MAURILIO FERREIRA DA SILVA LTDA
1087654|00001/2024|40.603.807/0001-33|JAF CONSTRUCAO E CONSULTORIA LTDA
1087880|000032024/2024|05.052.764/0001-44|GS - CONSTRUTORA GURGEL SOARES LTDA - EM RECUPERACAO JUDICIAL
1087881|000032024/2024|05.052.764/0001-44|GS - CONSTRUTORA GURGEL SOARES LTDA - EM RECUPERACAO JUDICIAL
1087521|000022024/2024|22.594.815/0001-89|ENGETECH CONSTRUCOES LTDA-EM RECUPERACAO JUDICIAL
1086181|000012024/2024|18.917.544/0001-88|M. A. EMPREENDIMENTOS E SERVICOS LTDA
1082753|000042024/2024|11.150.150/0001-06|CONSTRUTORA DOIS IRMAOS LIMITADA
1086188|00012024/2024|18.917.544/0001-88|M. A. EMPREENDIMENTOS E SERVICOS LTDA
1090684|567/2024|25.165.699/0001-70|CLPT CONSTRUTORA LTDA
0344899|000136/2020|07.914.131/0001-23|gasa engenharia ltda
1076701|92001/2024|25.080.166/0001-96|FERREIRA ALVES SERVICOS DE CONSTRUCOES LTDA
1082753|000042024/2024|43.610.330/0001-01|SOLIDA PRE MOLDADOS INDUSTRIA E SERVICOS LTDA
1086039|00001/2024|21.427.342/0001-62|GMS CONSTRUCAO E LOCACOES LTDA
1082543|02.00004/2024|26.743.338/0001-27|COPEVA CONSTRUTORA PEREIRA VIEIRA LTDA
1084824|012024/2024|12.373.455/0001-31|A. A. LIMA LTDA
1080675|032023/2023|31.900.447/0001-40|SILVACON CONSTRUCOES E SERVICOS LTDA
1085335|0000192023/2023|05.052.764/0001-44|GS - CONSTRUTORA GURGEL SOARES LTDA - EM RECUPERACAO JUDICIAL
1077790|00001/2024|38.374.079/0001-93|DEA CONSTRUCOES E LOCACOES LTDA
1086061|042024/2024|26.836.842/0001-71|HARPIA EMPREENDIMENTOS LTDA
1086243|09/2023|33.666.569/0001-40|PACTO CONSTRUCOES LTDA
1087510|022024/2024|17.560.794/0001-40|E L F TEIXEIRA CONSTRUCOES E SERVICOS LTDA
1087632|00005/2024|26.743.338/0001-27|COPEVA CONSTRUTORA PEREIRA VIEIRA LTDA
0350945|048/2024|06.927.666/0001-76|Constem Construtora LTDA
1082912|00004/2024|40.603.807/0001-33|JAF CONSTRUCAO E CONSULTORIA LTDA
1087500|001/2024|46.695.850/0001-52|RM CONSTRUCAO LTDA
1086874|02/2024|13.408.085/0001-93|WJX CONSTRUCOES E SERVICOS DE ENGENHARIA LTDA
1080675|032023/2023|31.900.447/0001-40|SILVACON CONSTRUCOES E SERVICOS LTDA
1077368|90004/2024|31.381.604/0001-59|MOTIVA CONSTRUCOES E SERVICOS LTDA
1086667|00128/2024|38.374.079/0001-93|DEA CONSTRUCOES E LOCACOES LTDA
1087704|005/2024|48.959.354/0001-94|L F C CONSTRUCOES LTDA
1083641|11/2023|47.539.216/0001-93|URANO CONSTRUCAO CIVIL LTDA
1079783|00003/2024|26.764.981/0001-37|OBRAPLAN EMPRESA DE LIMPEZA E CONSERVACAO URBANA LTDA
1087491|00001/2024|52.166.419/0001-11|J DE M MOURA SERVICOS
1075641|00005/2024|30.836.850/0001-95|R & S ENGENHARIA E CONSULTORIA LTDA
1079388|00002/2024|52.656.270/0001-59|CONSTRUTORA IMPERIO FF PB LTDA
1087675|00005/2024|25.165.699/0001-70|CLPT CONSTRUTORA LTDA
1078242|00004/2024|13.408.085/0001-93|WJX CONSTRUCOES E SERVICOS DE ENGENHARIA LTDA
1088306|02/2024|15.091.778/0001-20|QUALIFICA CONSTRUCOES E EMPREENDIMENTOS LTDA
1086267|00001/2024|27.944.573/0001-20|B2 CONSTRUCOES LTDA
1080418|9.13.01/2024|39.847.755/0001-61|WSM SERVICOS E MANUTENCOES LTDA
0237810|047/2024|06.927.666/0001-76|Constem Construtora LTDA
1078707|043/43|45.892.019/0001-28|FORTTE CONSTRUCAO E SERVICOS LTDA
1086019|00001/2024|40.628.974/0001-39|HUMAITA CONSTRUCOES LTDA
1041810|000110/2024|08.508.574/0001-87|arruda projetos ltda
1087634|00005/5|23.106.443/0001-67|KEVENY FERNANDES DE ARAUJO
1082748|11052/2023|16.628.118/0001-07|AM3 Engenharia Ltda.
1088397|061/2024|37.927.953/0001-00|V N CONSTRUCOES LTDA
1081994|00005/2024|14.175.618/0001-05|CONSTRUTORA REALIZAR LTDA
1074007|022/2024|23.106.443/0001-67|Keveny Fernandes de Araujo
1087561|00002/2024|24.964.064/0001-70|T A FRANCA SERVICOS
1087329|066/2024|37.927.953/0001-00|V N CONSTRUCOES LTDA
1081740|00004/2024|37.708.786/0001-06|TRAFF ELETRIFICACOES CONSTRUCOES E SERVICOS LTDA
1063896|337/2023|39.472.830/0001-57|VORI LOCAÇÕES E SERVIÇOS LTDA
1089041|00186/2024|73.041.188/0001-90|Comercial e Construtora FÊNIX Ltda
1068896|10053/23|13.493.236/0001-59|Construtora BRTec Ltda.
1086576|000032024/2024|46.919.946/0001-57|INPLANT ENGENHARIA E PLANEJAMENTO LTDA
1055291|000198/2024|08.438.654/0001-03|polyefe construcoes, limpeza e conservacao ltda
1079864|11080/2023|08.978.001/0001-17|A J P ENGENHARIA LTDA
1079864|11.010/2024|19.175.657/0001-18|CONSTRUTORA SOUSA CAMPOS LTDA
1077822|00003/2024|49.381.192/0001-12|LM2 ENGENHARIA LTDA
1081063|00003/2024|29.828.673/0001-16|AMETISTA CONSTRUTORA E EMPREITEIRA LTDA
1087795|9.08.03/2024|25.165.699/0001-70|CLPT CONSTRUTORA LTDA
1089181|158/2024|17.620.895/0001-60|ENGEMARCC CONSTRUTORA LTDA
1078258|00001/2024|23.740.839/0001-61|E. R. GOMES DE ALMEIDA LTDA
1044009|069/2024|23.106.443/0001-67|Keveny Fernandes de Araújo
1086325|00002/2024|08.866.317/0001-17|JOSE ROSINALDO RIBEIRO BARROS  LTDA
1085124|90007/2024|12.102.978/0001-43|M L S - CONSTRUCAO CIVIL LTDA
1053543|000046/2021|28.536.867/0001-85|lcl servicos de engenharia ltda
1058030|001794/2023|20.531.046/0001-44|vieira alves construcao ltda
1081752|00006/2024|37.708.786/0001-06|TRAFF ELETRIFICACOES CONSTRUCOES E SERVICOS LTDA
1086311|000022024/2024|28.697.127/0001-20|JGM CONSTRUTORA LTDA
1087339|042024/2024|73.041.188/0001-90|COMERCIAL E CONSTRUTORA FENIX LTDA
1086309|000022024/2024|28.697.127/0001-20|JGM CONSTRUTORA LTDA
1081752|00006/2024|37.261.300/0001-34|VENTURA & LEITE SERVICOS LTDA
0352778|2.08.010/2024|30.566.555/0001-66|INIVIAS Engenharia e CONSTRUPAV - Consórcio Sustentável
1078271|09/2023|34.212.059/0001-65|MORAIS EMPREENDIMENTOS E SERVICOS DE ENGENHARIA LTDA
1078272|10/2023|34.212.059/0001-65|MORAIS EMPREENDIMENTOS E SERVICOS DE ENGENHARIA LTDA
0222916|2.08.007/2024|05.346.248/0001-22|PLANA EDIFICAÇÕES LTDA
1077185|00012024/2024|36.121.012/0001-11|PR CONSTRUCOES LTDA
1084569|00006/2024|28.709.222/0001-05|EMPROTEC ENGENHARIA LTDA
1055291|000198/2024|08.438.654/0001-03|polyefe construcoes, limpeza e conservacao ltda
1055291|00198/2024|08.438.654/0001-03|POLYEFE CONSTRUCOES, LIMPEZA E CONSERVACAO LTDA
1084738|00002/2024|32.609.156/0001-60|HR COSTA CONSTRUCOES E SERVICOS LTDA
1084848|00003/2024|32.609.156/0001-60|HR COSTA CONSTRUCOES E SERVICOS LTDA
1072488|0102/2023|42.091.137/0001-49|MACENA CONSTRUÇÃO CIVIL LTDA
1079864|11010/2024|19.175.657/0001-18|CONSTRUTORA SOUSA CAMPOS LTDA
1080660|00004/2024|49.381.192/0001-12|LM2 ENGENHARIA LTDA
1086456|105/2024|17.560.794/0001-40|E L F TEIXEIRA CONSTRUCOES E SERVICOS LTDA
1035853|001174/2024|44.460.306/0001-04|catfelli design comercio ltda
1035853|000176/2024|14.402.647/0001-54|multforte comercio e suprimentos de informatica ltda
1035853|001173/2024|36.839.023/0001-31|carvalho miranda equipamentos ltda
1086065|073/2024|23.106.443/0001-67|Keveny Fernandes de Araújo
1087782|000012024/2024|40.137.429/0001-40|JOSE LEITE FILHO
1075352|00087/2023|37.094.328/0001-24|EMPREENDIMENTOS E NEGOCIOS MVM LTDA
1087516|032024/2024|28.709.222/0001-05|EMPROTEC ENGENHARIA LTDA
1087734|022024/2024|22.594.815/0001-89|ENGETECH CONSTRUCOES LTDA-EM RECUPERACAO JUDICIAL
1087256|022024/2024|49.381.192/0001-12|LM2 ENGENHARIA LTDA
1075352|872023/2023|37.094.328/0001-24|EMPREENDIMENTOS E NEGOCIOS MVM LTDA
1083643|00005/2024|23.407.509/0001-59|CONSTRUTORA FORTE BRASIL LTDA
1087487|072024/2024|27.944.573/0001-20|B2 CONSTRUCOES LTDA
1091253|00004/2024|28.820.393/0001-07|CONSTRUTORA SAILE LTDA
1078216|032024/2024|28.697.127/0001-20|JGM CONSTRUTORA LTDA
1087563|00003/2024|49.381.192/0001-12|LM2 ENGENHARIA LTDA
1087782|000042024/2024|40.137.429/0001-40|JOSE LEITE FILHO
1086328|022024/2024|02.512.025/0001-08|CONSTRUTORA ALICERCE LTDA
1072492|71001/2024|29.878.872/0001-39|R F SERVICOS DE CONSTRUCAO CIVIL LTDA
1076625|00002/2024|24.658.568/0001-62|FM SERVICOS LTDA
1087586|02021/2024|08.317.848/0001-50|APN Construções e Serviços Ltda
1080609|002/2024|40.603.807/0001-33|JAF CONSTRUCAO E CONSULTORIA LTDA
1078638|00005/2024|18.127.470/0001-86|MOURA E ANDRADE CONSTRUTORA E INCORPORADORA LTDA
1062222|000077/2024|29.102.727/0001-61|severino olegario da silva neto
1057202|000102/2024|41.069.404/0001-19|fc empreendimentos e construcoes ltda
1087573|032024/2024|37.708.786/0001-06|TRAFF ELETRIFICACOES CONSTRUCOES E SERVICOS LTDA
1087506|00042024/2024|08.369.786/0004-73|MPA CONSTRUCOES E PARTICIPACOES LTDA
1092814|052024/2024|08.369.786/0004-73|MPA CONSTRUCOES E PARTICIPACOES LTDA
1087378|022024/2024|37.708.786/0001-06|TRAFF ELETRIFICACOES CONSTRUCOES E SERVICOS LTDA
1080759|003/2024|45.990.624/0001-31|CONSTRUTORA GUABIRABA LTDA
1088592|007/2024|12.368.033/0001-78|CONSTRUTORA BEZERRA LTDA
1087778|042024/2024|23.304.039/0001-06|JCL ENGENHARIA LTDA
1071684|045/2024|23.254.954/0001-26|I. A. S. Construções Ltda.
0408671|150/2024|00.376.507/0001-44|ABF ENGENHARIA SERVICOS E COMER LTDA EM RECUPERACAO
1087867|00006/2024|07.367.680/0001-25|J ANDRADE LTDA
1092320|0006/2024|12.572.937/0001-10|CONSTRUTORA BORGES LTDA.
1084310|002/2024|31.094.999/0001-09|MENDONCA E SILVA CONSTRUCOES E LOCACOES LTDA
1057202|000102/2024|41.069.404/0001-19|fc empreendimentos e construcoes ltda
1087913|90009/2024|10.641.065/0001-70|NIEMAIA CONSTRUCOES LTDA
1087657|90006/2024|10.641.065/0001-70|NIEMAIA CONSTRUCOES LTDA
1087370|00007/2024|02.978.751/0001-02|F G CONSTRUCOES LTDA
1078215|0052024/2024|29.565.323/0001-04|FABIA IRIS MACEDO LIRA DE CARVALHO
1087772|621/2024|30.083.868/0001-63|R F ENGENHARIA LTDA
1059628|0107/2024|50.015.450/0001-26|CONCRET + PRE MOLDADOS E CONSTRUCOES LTDA
1074179|026/2023|00.976.179/0001-17|LINK ENGENHARIA INDUSTRIA E COMERCIO LTDA
1068076|00012021/2021|10.641.065/0001-70|NIEMAIA CONSTRUCOES LTDA
1088818|00002/2024|15.091.778/0001-20|QUALIFICA CONSTRUCOES E EMPREENDIMENTOS LTDA
1056613|020701/2024|40.065.143/0001-04|jotav construcoes, servicos e solucoes ltda
1089591|2/2024|52.495.167/0001-74|RM ENGENHARIA, CONSTRUCOES E SERVICOS LTDA
1074225|0001/2021|26.420.889/0001-50|GAMARRA CONSTRUTORA E LOCADORA LTDA
1086012|00004/2024|33.666.569/0001-40|PACTO CONSTRUCOES LTDA
1086012|00004/2024|32.609.156/0001-60|HR COSTA CONSTRUCOES E SERVICOS LTDA
1087888|052024/2024|49.381.192/0001-12|LM2 ENGENHARIA LTDA
1086493|001/2024|41.200.286/0001-36|TREZ PARTICIPACOES E ENGENHARIA LTDA
1086493|005/2024|03.278.968/0001-72|MAXICASA COMERCIO CONSTRUCOES E SERVICOS LTDA.
1086493|003/2024|05.446.272/0001-33|CONSTRUTORA ARRIMO LTDA
1086493|002/2024|05.446.272/0001-33|CONSTRUTORA ARRIMO LTDA
1086493|004/2024|09.047.935/0001-06|A3T - CONSTRUCAO E INCORPORACAO LTDA
1088341|00007/2024|21.798.708/0001-00|KAIROS ENGENHARIA E CONSTRUCOES LTDA
1088121|006/2024|03.226.372/0001-29|VL TECNO ENGENHARIA LTDA
1088416|00008/2024|21.798.708/0001-00|KAIROS ENGENHARIA E CONSTRUCOES LTDA
1087772|000052024/2024|30.083.868/0001-63|R F ENGENHARIA LTDA
1087514|00002/2024|47.674.423/0001-50|CONSTRUTORA E LIMPEZA URBANA DANTAS LTDA
1090384|00002/2024|07.156.006/0001-00|CONSTRUTORA PAIXAO LTDA
1084312|0007/2023|17.415.942/0001-33|DEL ENGENHARIA  LTDA
1087659|034/2024|28.529.405/0001-30|BMC BRASIL MINERACAO E CONSTRUCAO LTDA
1086296|00007/2024|51.913.561/0001-12|T G DE SOUZA FILHO LTDA
1090944|00005/2024|41.069.404/0001-19|FC EMPREENDIMENTOS E CONSTRUCOES LTDA
1087690|316/2024|24.658.568/0001-62|FM Serviços Ltda
1086709|00003/2024|28.994.255/0001-36|CONSTRUTORA JEW LTDA
1091253|00004/2024|28.820.393/0001-07|CONSTRUTORA SAILE LTDA
1090476|03/2024|07.367.680/0001-25|J ANDRADE LTDA
1087503|000092024/2024|14.985.318/0001-83|JANSEN CONSTRUCOES E INCORPORACOES LTDA
1087879|042024/2024|14.313.165/0001-28|TORRES CONSTRUCOES LTDA
1076235|00007/2024|51.578.554/0001-01|LCB CONSTRUCAO E INCORPORACAO LTDA
1066371|00094/2024-CPL|05.439.461/0001-89|CONSTRUTORA MONTEIRENSE LTDA
1087745|042024/2024|14.313.165/0001-28|TORRES CONSTRUCOES LTDA
1086953|00003/2024|49.381.192/0001-12|LM2 ENGENHARIA LTDA
1079022|00003/2023|40.628.974/0001-39|HUMAITA CONSTRUCOES LTDA
1087566|00001/2024|51.913.561/0001-12|T G DE SOUZA FILHO LTDA
1087723|00002/2024|14.976.902/0001-72|IMMI SERVICOS E CONSTRUCOES LTDA
0224980|0283/2024|09.267.923/0001-89|SANCCOL
1010373|000101/2024|54.071.357/0001-90|e m campelo
1086948|000082024/2024|14.985.318/0001-83|JANSEN CONSTRUCOES E INCORPORACOES LTDA
1087504|000072024/2024|48.959.354/0001-94|L F C CONSTRUCOES LTDA
1075348|900012024/2024|18.127.470/0001-86|MOURA E ANDRADE CONSTRUTORA E INCORPORADORA LTDA
1087879|032024/2024|14.313.165/0001-28|TORRES CONSTRUCOES LTDA
1084305|00010/2024|18.127.470/0001-86|MOURA E ANDRADE CONSTRUTORA E INCORPORADORA LTDA
1088475|00002/2024|46.919.946/0001-57|INPLANT ENGENHARIA E PLANEJAMENTO LTDA
1035853|001173/2024|36.839.023/0001-31|carvalho miranda equipamentos ltda
1035853|001174/2024|44.460.306/0001-04|catfelli design comercio ltda
1035853|001176/2024|14.402.647/0001-54|multforte comercio e suprimentos de informatica ltda
1062222|000013/2021|31.162.496/0001-23|bsr construtora e locadora ltda
1013770|001/2015|08.701.149/0001-00|Construser - Construção e Serviços de Terraplenagem Ltda
1085400|00002/2024|49.381.192/0001-12|LM2 ENGENHARIA LTDA
1048665|000008/2021|02.349.757/0001-10|accocil construcoes e locacoes eireli
1088332|12/2024|01.691.098/0001-33|EXITUS CONSTRUTORA LTDA
1093389|00017/2024|24.964.064/0001-70|T A FRANCA SERVICOS
1082514|0089/2024|31.162.496/0001-23|BSR Contrutora e Locadora Ltda
1082639|00005/2024|13.408.085/0001-93|WJX CONSTRUCOES E SERVICOS DE ENGENHARIA LTDA
1075898|02/2024|29.340.983/0001-97|ICCP CONSTRUCOES LTDA
1080818|03/2024|40.285.889/0001-15|CONSTRUTORA MMV LTDA
1087594|00002/2024|42.354.190/0001-95|SABUGI CONSTRUCOES LTDA
1081984|00616/2024|32.609.156/0001-60|HR COSTA CONSTRUCOES E SERVICOS LTDA
1086285|0084/2024|31.162.496/0001-23|BSR Construtora e Locadora Ltda
1079611|03/2024|40.285.889/0001-15|CONSTRUTORA MMV LTDA
1081852|00006/2024|36.121.012/0001-11|PR CONSTRUCOES LTDA
1087518|000082024/2024|17.620.703/0001-15|CONSTRUTORA APODI LTDA
1087664|00004/2024|40.603.807/0001-33|JAF CONSTRUCAO E CONSULTORIA LTDA
1064872|000088/2022|20.002.412/0001-78|construtora daki ltda
1064872|000088/2022|20.002.412/0001-78|construtora daki ltda
1073587|12/2024|49.381.192/0001-12|LM2 ENGENHARIA LTDA
1087666|0040/2024|20.002.412/0001-78|CONSTRUTORA DAKI LTDA
1064872|000088/2022|20.002.412/0001-78|construtora daki ltda
1045361|000168/2019|20.002.412/0001-78|construtora daki ltda
1064872|000088/2022|20.002.412/0001-78|construtora daki ltda
1086598|08005/2024|32.967.822/0001-32|INOVAR CONSTRUCOES E SERVICOS DE EDIFICIOS LTDA
1079391|00002/2024|17.287.720/0001-82|SILVA E LEITE CONSTRUCOES E SERVICOS LTDA
1088219|417/2024|43.625.211/0001-22|DELGADO SERVIÇOS E CONSTRUÇÕES LTDA
1076394|00006/2024|01.088.740/0001-94|MOC SERVICOS DE CONSTRUCOES LTDA
1088259|08005/2024|32.967.822/0001-32|INOVAR CONSTRUCOES E SERVICOS DE EDIFICIOS LTDA
1088142|00012/2024|24.606.073/0001-90|CONSTRUTORA ALVES E CONSERVA LTDA
1086577|000052024/2024|49.381.192/0001-12|LM2 ENGENHARIA LTDA
1087652|1/2024|28.709.222/0001-05|EMPROTEC ENGENHARIA LTDA
1091919|2/2024|26.836.842/0001-71|HARPIA EMPREENDIMENTOS LTDA
1087656|3/2024|35.896.773/0001-82|MROG CONSTRUCOES E SERVICOS LTDA
1052738|000153/2024|29.878.872/0001-39|r f servicos de construcao civil ltda
1092822|00007/2024|32.609.156/0001-60|HR COSTA CONSTRUCOES E SERVICOS LTDA
1047440|011019/2024|11.306.141/0001-53|kanova engenharia e construcoes ltda
1087697|000042024/2024|05.052.764/0001-44|GS - CONSTRUTORA GURGEL SOARES LTDA - EM RECUPERACAO JUDICIAL
1080658|004/2022  Reprograma|27.776.149/0001-13|SUSSUARANA ENGENHARIA E ARQUITETURA LTDA
1013770|001/2024|43.611.991/0001-51|Construtora Diniz Serviços de Engenharia Ltda
1084949|00082024/2024|26.743.338/0001-27|COPEVA CONSTRUTORA PEREIRA VIEIRA LTDA
1087522|3/2024|12.373.455/0001-31|A. A. LIMA LTDA
1092814|052024/2024|08.369.786/0001-20|MPA CONSTRUCOES E PARTICIPACOES LTDA
1081465|001/2024|51.913.561/0001-12|T G DE SOUZA FILHO LTDA
1087506|00042024/2024|08.369.786/0001-20|MPA CONSTRUCOES E PARTICIPACOES LTDA
1072624|00012/2024|46.919.946/0001-57|INPLANT ENGENHARIA E PLANEJAMENTO LTDA
1077039|004/2024|20.949.329/0001-00|PRIIMEE.CONSTRUCOES E EMPREENDIMENTOS LTDA
1088615|08007/2024|44.459.047/0001-93|ANCORA CONSTRUTORA LTDA
1088454|017/2024|14.313.179/0001-41|CLAUDINEIA LEITAO MARTINS SATIRO
1087596|00007/2024|45.990.624/0001-31|CONSTRUTORA GUABIRABA LTDA
1088307|0010/2024|20.002.412/0001-78|CONSTRUTORA DAKI LTDA
1086448|012024/2024|17.560.794/0001-40|E L F TEIXEIRA CONSTRUCOES E SERVICOS LTDA
1082594|00014/2024|45.338.312/0001-48|EMIR NUNES DA SILVA NETTO  LTDA
1087650|00003/2024|17.480.342/0001-59|CONSTRUTORA GONCALO LTDA
1088471|004/2024|05.052.764/0001-44|GS - CONSTRUTORA GURGEL SOARES LTDA - EM RECUPERACAO JUDICIAL
0445334|0122/2024|55.206.432/0001-45|Consórcio Barragem de Cupissura (NOVATEC e outras)
1080733|00003/2024|51.913.561/0001-12|T G DE SOUZA FILHO LTDA
1078257|00005/2024|34.746.608/0001-81|ABIK ENGENHARIA E CONSULTORIA LTDA
1088712|00005/2024|30.272.239/0001-81|CATAO BONGIOVI COMERCIO E SERVICOS LTDA
1073985|00217/2023|17.598.162/0001-76|MACÁRIO PREMOLDADOS e METALURGICA LTDA
1087585|052024/2024|23.430.132/0001-59|R SENA LOCACAO E SERVICOS DE ENGENHARIA LTDA
1076229|116/2023|47.950.782/0001-93|MR ENGENHARIA LTDA
1087513|0052024/2024|29.050.310/0001-00|TORRE CONSTRUCAO E CONSULTORIA EM ENGENHARIA LTDA
1087661|13/2024|09.181.832/0001-26|NUNES CONSTRUCOES DE EDIFICIOS E OBRAS URBANISTICAS LTDA
1087222|00003/2024|07.638.122/0001-57|CHS CONSTRUCAO E SERVICOS LTDA
1093747|082024/2024|42.912.376/0001-12|GOTT SERVICOS LTDA
1094173|00009/2024|21.798.708/0001-00|KAIROS ENGENHARIA E CONSTRUCOES LTDA
1087280|000102024/2024|20.949.329/0001-00|PRIIMEE.CONSTRUCOES E EMPREENDIMENTOS LTDA
0344899|000005/2025|07.870.719/0001-22|exa engenharia ltda
1087860|00008/2024|14.976.902/0001-72|IMMI SERVICOS E CONSTRUCOES LTDA
1086289|05/2024|35.896.773/0001-82|MROG CONSTRUCOES E SERVICOS LTDA
1090220|04/2024|17.287.720/0001-82|SILVA E LEITE CONSTRUCOES E SERVICOS LTDA
1086461|561/2024|08.866.317/0001-17|JOSE ROSINALDO RIBEIRO BARROS  LTDA
1061702|000114/2024|31.162.496/0001-23|bsr construtora e locadora ltda
1070699|00042024/2024|19.910.105/0001-06|RENOVAR CONSTRUCOES E SERVICOS LTDA
1079871|002/2024|10.634.344/0001-06|PB PROJETOS E CONSULTORIA LTDA
1081776|11002/2025|09.027.846/0001-90|TRUST CONSTRUTORA LTDA,
1065695|000012021/2021|14.313.165/0001-28|TORRES CONSTRUCOES LTDA
1082563|435/2024|28.709.222/0001-05|EMPROTEC ENGENHARIA LTDA
1064184|00006/2021|30.676.883/0001-15|GRAMARE CONSTRUCOES E SERVICOS EIRELI
1082544|000012023/2023|08.317.848/0001-50|APN CONSTRUCOES E SERVICOS LTDA
1082513|042023/2023|03.117.952/0001-88|CONSTRUTORA CRAL SERVICOS LTDA
1082543|000032024/2024|26.743.338/0001-27|COPEVA CONSTRUTORA PEREIRA VIEIRA LTDA
1070345|08/2021|03.278.968/0001-72|MAXICASA COMERCIO CONSTRUCOES E SERVICOS LTDA.
1082514|00002/2024|31.162.496/0001-23|BSR CONSTRUTORA E LOCADORA LTDA
1063331|004/2021|17.620.703/0001-15|CONSTRUTORA APODI EIRELI
1064096|001/2022|17.287.720/0001-82|SILVA E LEITE CONSTRUCOES E SERVICOS LTDA
1070029|0022021/2021|26.420.889/0001-50|GAMARRA CONSTRUTORA E LOCADORA EIRELI
1082562|0009/2023|28.709.222/0001-05|EMPROTEC ENGENHARIA LTDA
1082941|042023/2023|29.050.310/0001-00|TORRE CONSTRUCAO E CONSULTORIA EM ENGENHARIA LTDA
1070519|000052021/2021|35.223.617/0001-50|JANIO IDALINO DE SOUSA
1071684|00003/2021|11.170.603/0001-58|COVALE CONSTRUCOES E SERVICOS EIRELI
1064259|000032021/2021|19.293.019/0001-00|CARAMURU CONSTRUTORA E IMOBILIARIA LTDA
1070029|03/2023|29.050.310/0001-00|TORRE CONSTRUCAO E CONSULTORIA EM ENGENHARIA LTDA
1070506|001/2022|17.287.720/0001-82|SILVA E LEITE CONSTRUCOES E SERVICOS LTDA
1082996|00004/2023|45.338.312/0001-48|EMIR NUNES DA SILVA NETTO  LTDA
1065988|00052023/2023|33.091.431/0001-60|AF CONSTRUTORA LTDA
1067331|00004/2024|09.158.398/0001-63|SANTA CRUZ CONSTRUCOES LTDA
1067334|00001/2022|21.763.372/0001-40|RIBEIRO E ANJOS EMPREENDIMENTOS E ENGENHARIA LTDA
1082889|082022/2022|01.517.003/0001-60|JAMAILTON MARTINS DO CARMO  LTDA
